product_id,product_description,cod_agencia_id,cod_ruta_id,date,last_8wk_avg_sales_units,last_8wk_avg_return_units,units,forecast_creation_date
29533,Mini Rosquitas Integrales 50g SUP,14462,1266,1/23/2019,0,0,10,1/22/2019
42517,Supan Integral Clasico 500g SUP_42517,14463,520,1/23/2019,0,0,6,1/22/2019
29499,Super Hamburguesa 12p 800g REY,14463,121,1/23/2019,0,0,1,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14472,1220,1/23/2019,0,0,65,1/22/2019
29527,Rosquitas Trenzadas 200g SUP,14462,1236,1/23/2019,0,0,17,1/22/2019
29495,Hot Dog 8p 320g SUP,14461,1516,1/23/2019,0,0,11,1/22/2019
41685,Molde Actileche sn Corteza 450g BIM_41685,14466,1205,1/23/2019,0,0,12,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14466,1217,1/23/2019,0,0,3,1/22/2019
29471,Molde Gigante 800g REY,14461,1202,1/23/2019,0,0,8,1/22/2019
29479,Molde Integral 700g SUP,14462,1251,1/23/2019,0,0,2,1/22/2019
29471,Molde Gigante 800g REY,14461,1212,1/23/2019,0,0,19,1/22/2019
29541,Mini Tostadas Naturales 120g GRI,14464,1206,1/23/2019,0,0,1,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14461,1231,1/23/2019,0,0,17,1/22/2019
